Rail Car,Source,Event Date,Event Code,Event Location
TBOX663377,Raven,2021-03-21T06:12:00,A,TERRE HAUTE,IN [CSXT]
TBOX663438,Raven,2021-03-22T11:10:00,P,CORDELE,GA [CSXT]
TBOX664478,Raven,2021-03-16T19:58:00,J,MONTGOMERY,IL [BNSF]
TBOX666119,Raven,2021-03-16T22:09:00,A,HOWELLS TRANSFER,GA [CSXT]
TBOX666847,Raven,2021-03-22T08:07:00,P,STONE,SC [CSXT]
TBOX670317,Raven,2021-03-16T19:58:00,J,MONTGOMERY,IL [BNSF]
TBOX675619,Raven,2021-03-22T07:44:00,P,HOWELLS TRANSFER,GA [CSXT]
TILX642166,Raven,2021-03-19T05:45:00,Z,FLAGSTAFF,AZ [BNSF]
TR200706,Raven,2021-03-22T00:38:00,P,WYLIE,TX [KCS]
TR274099,Raven,2021-03-19T19:19:00,B,JACKSON,MS [KCS]
TR274117,Raven,2021-03-22T00:38:00,P,WYLIE,TX [KCS]
UCRY300071,Raven,2021-03-22T07:26:00,P,PHIL EAST SIDE,PA [CSXT]
UP74658,Raven,2021-03-21T13:31:00,A,NORTH PLATTE WEST,NE [UP]
