Rail Car,Source,Event Date,Event Code,Event Location
GPMX10025,Raven,2021-03-20T01:40:00,A,EAST SAVANNAH,GA [CSXT]
GPMX10030,Raven,2021-03-21T15:25:00,D,THOMASVILLE,GA [CSXT]
GPMX10042,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPMX10043,Raven,2021-03-19T15:33:00,Z,METCALF,GA [CSXT]
GPMX10044,Raven,2021-03-19T15:33:00,Z,METCALF,GA [CSXT]
GPMX10047,Raven,2021-03-19T15:33:00,Z,METCALF,GA [CSXT]
GPMX10048,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPMX10050,Raven,2021-03-20T00:14:00,A,WAYCROSS,GA [CSXT]
GPMX10051,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPMX10054,Raven,2021-03-19T15:33:00,Z,METCALF,GA [CSXT]
GPMX10055,Raven,2021-03-21T15:25:00,D,THOMASVILLE,GA [CSXT]
GPMX10056,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPMX10058,Raven,2021-03-19T15:33:00,Z,METCALF,GA [CSXT]
GPMX10061,Raven,2021-03-21T15:25:00,D,THOMASVILLE,GA [CSXT]
GPMX10062,Raven,2021-03-21T15:25:00,D,THOMASVILLE,GA [CSXT]
GPMX10064,Raven,2021-03-19T15:33:00,Z,METCALF,GA [CSXT]
GPMX10067,Raven,2021-03-19T15:33:00,Z,METCALF,GA [CSXT]
GPMX10070,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPMX10071,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPMX10072,Raven,2021-03-21T16:05:00,A,THOMASVILLE,GA [CSXT]
GPMX10073,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPMX10077,Raven,2021-03-19T15:33:00,Z,METCALF,GA [CSXT]
GPMX10080,Raven,2021-03-21T16:05:00,A,THOMASVILLE,GA [CSXT]
GPMX10081,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPMX10082,Raven,2021-03-20T00:14:00,A,WAYCROSS,GA [CSXT]
GPMX10085,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPMX10087,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPMX10089,Raven,2021-03-20T00:14:00,A,WAYCROSS,GA [CSXT]
GPMX10090,Raven,2021-03-21T16:05:00,A,THOMASVILLE,GA [CSXT]
GPMX10096,Raven,2021-03-21T15:25:00,D,THOMASVILLE,GA [CSXT]
GPMX134599,Raven,2021-03-21T15:52:00,A,THOMASVILLE,GA [CSXT]
GPMX134628,Raven,2020-11-13T14:28:00,D,BRUNSWICK,GA [CSXT]
GPMX134642,Raven,2021-03-19T15:33:00,Z,METCALF,GA [CSXT]
GPMX134707,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPMX139526,Raven,2021-03-09T05:00:00,Z,BARNESVILLE,GA [NS]
GPMX139660,Raven,2021-03-10T06:51:00,Z,BARNESVILLE,GA [NS]
GPMX200117,Raven,2021-03-20T19:40:00,A,BRUNSWICK,GA [NS]
GPMX200178,Raven,2021-03-09T05:00:00,Z,BARNESVILLE,GA [NS]
GPMX200462,Raven,2021-03-19T05:56:00,Z,BARNESVILLE,GA [NS]
GPMX200510,Raven,2021-03-20T19:40:00,A,BRUNSWICK,GA [NS]
GPSX10168,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPSX10197,Raven,2020-11-13T14:28:00,D,BRUNSWICK,GA [CSXT]
GPSX10201,Raven,2021-03-20T00:14:00,A,WAYCROSS,GA [CSXT]
GPSX10207,Raven,2021-03-19T15:33:00,Z,METCALF,GA [CSXT]
GPSX10208,Raven,2021-03-19T15:33:00,Z,METCALF,GA [CSXT]
GPSX10210,Raven,2021-03-21T15:25:00,D,THOMASVILLE,GA [CSXT]
GPSX10218,Raven,2021-03-21T15:25:00,D,THOMASVILLE,GA [CSXT]
GPSX10225,Raven,2021-03-19T15:33:00,Z,METCALF,GA [CSXT]
GPSX4210,Raven,2020-10-28T07:24:00,W,METCALF,GA [CSXT]
GPSX4217,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPSX4218,Raven,2021-03-21T15:25:00,D,THOMASVILLE,GA [CSXT]
GPSX4220,Raven,2020-11-13T14:28:00,D,BRUNSWICK,GA [CSXT]
GPSX4222,Raven,2021-03-21T16:05:00,A,THOMASVILLE,GA [CSXT]
GPSX4224,Raven,2021-03-21T16:05:00,A,THOMASVILLE,GA [CSXT]
GPSX530,Raven,2020-09-02T17:05:00,W,METCALF,GA [CSXT]
GPSX5301,Raven,2021-03-21T15:25:00,D,THOMASVILLE,GA [CSXT]
GPSX5302,Raven,2021-03-20T00:14:00,A,WAYCROSS,GA [CSXT]
GPSX5306,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPSX5318,Raven,2021-03-20T00:14:00,A,WAYCROSS,GA [CSXT]
GPSX5323,Raven,2021-03-21T15:25:00,D,THOMASVILLE,GA [CSXT]
GPSX5324,Raven,2021-03-21T15:25:00,D,THOMASVILLE,GA [CSXT]
GPSX5328,Raven,2021-03-20T00:14:00,A,WAYCROSS,GA [CSXT]
GPSX5332,Raven,2021-03-21T15:25:00,D,THOMASVILLE,GA [CSXT]
GPSX5334,Raven,2021-03-21T15:25:00,D,THOMASVILLE,GA [CSXT]
GPSX5335,Raven,2021-03-20T00:14:00,A,WAYCROSS,GA [CSXT]
GPSX5338,Raven,2021-03-21T15:25:00,D,THOMASVILLE,GA [CSXT]
GPSX5339,Raven,2021-03-21T15:25:00,D,THOMASVILLE,GA [CSXT]
GPSX534,Raven,2020-10-19T12:52:00,W,METCALF,GA [CSXT]
GPSX538,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPSX574,Raven,2021-03-21T15:25:00,D,THOMASVILLE,GA [CSXT]
GPSX579,Raven,2021-03-20T00:14:00,A,WAYCROSS,GA [CSXT]
GPSX585,Raven,2021-03-19T05:56:00,Z,BARNESVILLE,GA [NS]
GPSX671,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPSX673,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPWX1015,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPWX1051,Raven,2020-10-08T09:41:00,W,METCALF,GA [CSXT]
GPWX1067,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPWX1074,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPWX1250,Raven,2021-03-21T15:32:00,A,THOMASVILLE,GA [CSXT]
GPWX1270,Raven,2021-03-19T15:33:00,Z,METCALF,GA [CSXT]
HPTX732609,Raven,2019-12-14T06:43:00,W,SCOTFORD,AB [CPRS]
HPTX732657,Raven,2021-03-16T03:00:00,R,TACOMA,WA [BNSF]
HPTX733951,Raven,2021-03-08T20:08:00,W,TACOMA,WA [BNSF]
HPTX734115,Raven,2021-03-16T03:11:00,Y,TACOMA,WA [UP]
HS2801,Raven,2021-03-22T04:35:00,A,BRITTAIN,OH [WE]
HS2803,Raven,2021-03-22T06:11:00,P,REESES SCANNER,OH [NS]
HS2810,Raven,2021-03-21T22:45:00,P,MCKINNEY,AR [UP]
HS2811,Raven,2021-03-21T16:17:00,A,MACON,GA [NS]
HS2817,Raven,2021-03-11T07:20:00,W,WASHINGTON COURT HO,OH [IORY]
HS2820,Raven,2021-03-21T22:45:00,P,MCKINNEY,AR [UP]
HS2821,Raven,2021-03-21T22:45:00,P,MCKINNEY,AR [UP]
HS2822,Raven,2021-03-12T00:11:00,J,NORTH YARDFTW,TX [UP]
HS2825,Raven,2021-03-20T00:22:00,Z,UNION YARD,MN [BNSF]
HS2828,Raven,2021-03-22T06:16:00,P,WATTS,OK [KCS]
HS2833,Raven,2021-03-22T11:19:00,W,MADISON,GA [NS]
HS2840,Raven,2021-03-21T18:19:00,B,WEST COLTON,CA [UP]
HS2845,Raven,2021-03-22T11:37:00,W,MADISON,GA [NS]
HS2846,Raven,2021-03-20T17:22:00,A,MACON,GA [NS]
HS2848,Raven,2021-03-09T14:37:00,W,SILLS,NY [NYNJ]
HS2850,Raven,2021-03-22T05:01:00,A,RARITAN CENTER,NJ [RCRY]
HS2855,Raven,2021-03-22T06:18:00,P,DOTHAN,AL [CSXT]
HS2857,Raven,2021-03-15T16:08:00,W,GREEN LIGHT SPUR,TX [UP]
HS2873,Raven,2021-03-20T15:48:32,W,GRAND PRAIRIE,TX [UP]
HS2880,Raven,2021-03-22T02:00:00,A,CHAMPAIGN,IL [CN]
HS2881,Raven,2021-03-05T09:05:00,W,RARITAN CENTER,NJ [RCRY]
HS2882,Raven,2021-03-22T10:17:00,W,TAYLORSVILLE,MS [CN]
HS2886,Raven,2021-03-22T04:06:00,Y,LA MIRADA,CA [BNSF]
HS2888,Raven,2021-03-22T04:20:00,A,JACKSON,MS [CN]
HS2890,Raven,2021-03-15T16:08:00,W,GREEN LIGHT SPUR,TX [UP]
HS2891,Raven,2021-03-22T03:44:00,A,LA MIRADA,CA [BNSF]
HS2892,Raven,2021-03-21T22:45:00,P,MCKINNEY,AR [UP]
HS2893,Raven,2021-03-21T22:45:00,P,MCKINNEY,AR [UP]
HS2895,Raven,2021-03-22T09:04:00,P,FARGO,OK [BNSF]
HS2900,Raven,2021-03-20T01:41:00,Y,SARATOGA,MS [CN]
HS2901,Raven,2021-03-16T23:13:00,A,EOLA,IL [BNSF]
HS2902,Raven,2021-03-20T15:54:00,W,GRAND PRAIRIE,TX [UP]
HS2908,Raven,2021-03-16T23:17:00,W,GREEN LIGHT SPUR,TX [UP]
HS2912,Raven,2021-03-09T14:37:00,W,SILLS,NY [NYNJ]
HS2914,Raven,2021-03-21T17:00:00,A,ALBUQUERQUE,NM [BNSF]
HS2919,Raven,2021-03-22T00:01:00,A,ENGLEWOOD,TX [UP]
HS2921,Raven,2021-03-16T05:42:00,W,PIPEOLA,AZ [UP]
HS2928,Raven,2021-03-21T16:17:00,A,MACON,GA [NS]
HS2939,Raven,2021-03-18T09:07:00,R,FORDYCE,AR [ALM]
HS2941,Raven,2021-03-05T15:57:00,W,SOLON,OH [WE]
HS2946,Raven,2021-03-17T05:52:00,W,PIPEOLA,AZ [UP]
HS2947,Raven,2021-03-12T05:04:00,W,PIPEOLA,AZ [UP]
HS2948,Raven,2021-03-19T15:03:00,W,ALBUQUERQUE,NM [BNSF]
HS3105,Raven,2021-03-21T15:30:00,A,NORTH LITTLE ROCK,AR [UP]
HS3130,Raven,2021-03-21T22:45:00,P,MCKINNEY,AR [UP]
HS3140,Raven,2021-03-16T23:17:00,W,GREEN LIGHT SPUR,TX [UP]
HS3143,Raven,2021-03-12T00:11:00,J,NORTH YARDFTW,TX [UP]
HS3191,Raven,2021-03-22T11:30:00,A,PORT ROBINSON,ON [CN]
HS3196,Raven,2021-03-22T06:02:00,X,GURDON,AR [AKMD]
